date,code,shares,price,commission,cash
2025-10-27,sz301308,-1900,227.53,350.16867,1274775.8020599994
2025-11-03,sz300502,-1300,242.13,254.96289,1589289.8391699994
2025-11-03,sz301308,1400,255.03,110.68301999999998,1232137.1561499992
2025-11-03,sz300450,6600,56.36,115.31255999999999,860045.8435899992
2025-11-03,sz300308,800,469.67,116.47816,484193.36542999925
2025-11-03,sz002709,9800,40.33,122.52253999999999,88836.84288999927
2025-11-03,sh601138,200,69.38,5.13876,74955.70412999927
2025-11-10,sz002709,-9800,43.65,346.4937,502379.2104299993
2025-11-13,sz300450,-6600,49.23,263.18358,827034.0268499993
2025-11-17,sh601138,-5400,63.41,277.35533999999996,1169170.6715099993
2025-11-17,sz301308,-1400,299.99,340.18865999999997,1588816.4828499993
2025-12-08,sz300308,-800,542.0,351.216,2022065.2668499993
2025-12-22,sz301308,1600,247.01,122.51696,1626726.7498899994
2025-12-22,sh600118,6800,60.49,127.51292,1215267.2369699995
2025-12-22,sz002028,2700,146.4,122.53679999999999,819864.7001699995
2025-12-22,sz000657,14700,27.57,125.63649,414460.0636799995
2025-12-22,sz000807,13800,28.9,123.63419999999999,15516.429479999526
2025-12-29,sh600118,-6800,80.99,446.09291999999994,565802.3365599995
2025-12-29,sz000657,600,29.27,5.44422,548234.8923399996
2025-12-29,sz000807,1000,30.38,9.4178,517845.47453999956
2025-12-29,sh601600,38300,11.72,139.15156,68830.32297999953
2025-12-29,sz000408,700,86.0,18.662,8611.660979999535
2026-01-05,sz301308,-1600,254.7,330.09119999999996,415801.5697799995
2026-01-07,sz002028,-2700,150.31,328.72796999999997,821309.8418099994
2026-01-07,sh600118,4300,102.99,137.28566999999998,378315.5561399994
2026-01-07,sz000807,-1200,34.47,33.50484,419646.0512999994
2026-01-07,sh601600,-4300,13.81,48.100229999999996,478980.9510699994
2026-01-07,sz000657,600,29.77,5.53722,461113.41384999943
2026-01-07,sz002532,26100,17.65,142.80614999999997,305.60769999946933
2026-01-14,sh600118,-300,116.99,28.42857,35374.17912999947
2026-01-14,sz002202,1000,34.27,10.6237,1093.5554299994765
2026-01-14,sz000657,-1200,32.99,32.06628,40649.48914999948
2026-01-14,sz000408,400,88.0,10.911999999999999,5438.577149999481
2026-01-14,sh601600,300,13.95,5.04185,1248.5352999994811
2026-01-21,sz000807,-13600,32.62,359.34191999999996,444521.19337999943
2026-01-21,sh601600,-34300,13.05,362.56814999999995,891773.6252299994
2026-01-21,sz000408,-1100,90.38,80.52858,991111.0966499994
2026-01-21,sz002532,-26100,18.28,386.45748000000003,1467832.6391699994
2026-02-26,sz000657,-14700,60.95,725.73165,2363071.9075199994
2026-03-05,sz002202,-1000,27.4,22.194000000000003,2390449.7135199993
2026-03-16,sh600118,-4000,87.19,282.49559999999997,2738927.2179199993
2026-04-10,sh601872,27800,19.35,166.7583,2200830.4596199994
2026-04-10,sh600026,21500,25.28,168.4912,1657141.9684199993
2026-04-10,sh600522,17400,31.12,167.86128,1115486.1071399995
2026-04-10,sz300442,6200,87.76,168.67472,571205.4324199995
2026-04-10,sz300394,2100,247.29,160.98579,51735.4466299995
2026-04-17,sz002384,300,155.0,14.415,5221.031629999496
2026-04-17,sh600176,100,32.46,5.03246,1969.9991699994957
2026-04-17,sz300394,-100,257.99,20.89719,27748.101979999497
2026-04-17,sz300442,-800,93.76,60.756479999999996,102695.3454999995
2026-04-17,sh605117,1000,98.0,30.38,4664.965499999496
2026-04-24,sh600026,-21500,20.97,365.19255,455154.77294999955
2026-04-24,sz300442,-5400,94.54,413.51796,965257.2549899996
2026-04-24,sz002384,2500,193.5,149.9625,481357.29248999956
2026-04-24,sz300394,100,244.01,7.56431,456948.72817999957
2026-04-24,sh600522,-1600,33.74,43.72704,510889.0011399996
2026-04-24,sh605117,4100,103.93,132.09502999999998,84643.90610999957
2026-04-24,sh600176,2500,33.31,25.81525,1343.0908599995746
2026-04-29,sz300394,-2100,217.36,369.72936,457429.3614999996
2026-05-06,sz002384,-100,191.8,15.535799999999998,476593.8256999996
2026-05-06,sh600176,12400,35.01,134.57844,42335.24725999957
2026-05-06,sz300408,400,85.05,10.546199999999999,8304.70105999957
2026-05-06,sh600188,300,21.68,5.06504,1795.6360199995697
2026-05-06,sh605117,-300,107.47,26.115209999999998,34010.52080999957
2026-05-13,sh600188,-300,20.73,8.17169,40221.34911999957
2026-05-13,sz002384,-100,213.0,17.253,61504.096119999565
2026-05-13,sh600522,-2500,42.28,85.61699999999999,167118.47911999957
2026-05-13,sz000988,1100,139.75,47.65474999999999,13345.82436999958
2026-05-13,sh600176,300,36.81,5.11043,2297.7139399995795
2026-05-19,sh601872,-27800,17.09,384.83262,477014.8813199996
2026-05-20,sz300408,-400,96.3,31.2012,515503.68011999957
2026-05-27,sh600522,-13300,39.54,425.96442,1040959.7156999996
2026-05-27,sh600176,-15300,41.29,511.70696999999996,1672185.0087299994
2026-06-03,sz002384,-2600,219.6,462.4776,2242682.5311299996
2026-06-03,sh605117,-4800,109.0,423.79200000000003,2765458.7391299997
2026-06-03,sz000988,-1100,153.73,136.97343,2934424.7656999994
2026-06-25,sh600183,3200,179.9,178.46079999999998,2358566.3048999994
2026-06-25,sz300408,3900,150.19,181.57970999999998,1772643.7251899994
2026-06-25,sz002384,2200,263.0,179.36599999999999,1193864.3591899993
2026-06-25,sh600522,9400,63.14,183.98995999999997,600164.3692299993
2026-06-25,sz002938,5400,106.9,178.9506,22725.418629999273
2026-07-02,sh600522,-9400,52.39,398.89745999999997,514792.52116999927
2026-07-02,sz002938,-5400,100.0,437.4,1054355.1211699992
2026-07-02,sz300408,-700,161.85,91.76894999999999,1167558.3522199993
2026-07-02,sh603986,700,721.0,156.457,662701.8952199994
2026-07-02,sh600183,100,155.0,5.155,647196.7402199993
2026-07-02,sh600176,7900,67.8,166.04219999999998,111410.69801999931
2026-07-02,sh600584,1100,99.0,33.75899999999999,2476.9390199993068
2026-07-14,sz300408,-3200,111.49,288.98208,358955.9569399993
2026-07-16,sh600584,-1100,87.46,77.92686,455084.0300799993
2026-07-20,sh603986,-700,479.0,271.59299999999996,790112.4370799994
2026-07-20,sh600176,-7900,45.5,291.1545,1149271.2825799994
2026-07-21,sh600183,-3300,129.32,345.67236,1575681.6102199994
2026-07-21,sz002384,-2200,217.73,387.99486,2054299.6153599995
2026-08-13,sz301165,3200,129.0,127.96799999999999,1641371.6473599994
2026-08-13,sh603259,2500,158.9,123.14749999999998,1243998.4998599994
2026-08-13,sz002422,8600,46.21,123.19585999999998,846469.3039999994
2026-08-13,sz002371,500,768.37,119.09734999999998,462165.2066499994
2026-08-13,sz000938,10900,37.9,128.0641,48927.14254999941
2026-08-20,sz002371,-500,726.01,294.03405,411638.1084999994
2026-08-20,sz301165,-3200,124.02,321.45984,808180.6486599994
2026-08-20,sz000938,-10900,35.22,310.95738,1191767.6912799994
2026-08-25,sz002422,-8600,41.26,287.41715999999997,1546316.2741199995
