date,code,shares,price,commission,cash
2022-12-02,sz000617,23900,6.47,47.936229999999995,17684.533609999955
2022-12-02,sz000657,1400,11.88,5.16632,1047.3672899999547
2022-12-05,sh600875,-6800,20.44,112.58352,139926.78376999998
2022-12-06,sz300832,-3400,42.6,117.3204,284649.46337
2022-12-09,sz000617,-23900,6.86,132.80274,448470.66063
2022-12-09,sh600050,26200,4.53,36.79266,329747.86797
2022-12-09,sz000999,-1000,28.39,22.9959,358114.87207000004
2022-12-09,sz300832,2800,42.3,36.716399999999986,239638.15567000007
2022-12-09,sh601728,34200,3.51,37.21301999999999,119558.94265000008
2022-12-09,sh601628,3500,33.57,36.42345,2027.5192000000825
2022-12-12,sz300832,-2800,43.21,98.00028,122917.51892000009
2022-12-13,sz000975,-11400,10.6,97.8804,243659.6385200001
2022-12-16,sz000999,-4100,25.34,84.15414,347469.4843800001
2022-12-16,sz000657,-1400,11.24,13.02536,363192.45902000007
2022-12-16,sh600050,6500,4.31,8.68465,335168.77437000006
2022-12-16,sz300832,3200,42.82,42.47744,198102.29693000007
2022-12-16,sz000617,24300,5.75,43.31475,58333.98218000008
2022-12-16,sz300124,800,67.79,16.81192,4085.1702600000717
2022-12-19,sz300832,-3200,43.57,112.93344,143396.23682000008
2022-12-26,sz300124,-800,64.96,42.09407999999999,195322.14274000007
2023-01-09,sh601728,-34200,3.46,95.84891999999999,313558.2938200001
2023-01-09,sh600050,-1600,4.49,8.66384,320733.6299800001
2023-01-09,sz002422,5500,25.6,43.647999999999996,179889.9819800001
2023-01-09,sz000617,2500,5.23,5.13075,166809.8512300001
2023-01-09,sh601888,600,221.25,41.152499999999996,34018.69873000009
2023-01-09,sh600029,4400,7.66,10.448239999999998,304.2504900000931
2023-01-11,sz000617,-26800,5.1,110.7108,136873.5396900001
2023-01-16,sz002422,-5500,25.3,112.7115,275910.8281900001
2023-01-16,sh601899,14600,9.8,44.3548,132786.4733900001
2023-01-16,sh600050,-100,4.57,5.2330700000000006,133238.2403200001
2023-01-16,sz000596,400,281.07,34.85267999999999,20775.387640000103
2023-01-16,sh601628,400,35.61,5.14244,6526.245200000103
2023-01-16,sz000617,1200,5.35,5.0642,101.18100000010327
2023-01-18,sz000617,-1200,5.19,8.17628,6321.0047200001045
2023-01-30,sh600029,-4400,7.88,28.084319999999998,40964.920400000105
2023-01-30,sh600050,-2800,5.05,12.211400000000001,55092.709000000104
2023-01-30,sh601899,-500,10.15,7.58825,60160.120750000104
2023-01-30,sh601318,1300,44.45,17.91335,2357.207400000094
2023-02-01,sh601628,-3900,31.69,100.10871,125848.0986900001
2023-02-06,sh601888,-600,203.8,99.04679999999999,248029.05189000012
2023-02-06,sh601899,-600,9.65,7.9529,253811.09899000012
2023-02-06,sh603369,2400,55.31,41.15064,121025.94835000011
2023-02-06,sh600050,200,4.69,5.00938,120082.9389700001
2023-02-06,sz002532,16600,7.21,37.10266,359.83631000010064
2023-02-13,sh601899,-13500,9.17,100.27394999999999,124054.5623600001
2023-02-13,sz002532,-16600,6.91,92.91186,238667.6505000001
2023-02-20,sz000596,-400,262.11,84.92364,343426.7268600001
2023-02-20,sh601318,-1300,39.71,41.814629999999994,395007.91223000013
2023-03-06,sh600050,-28400,5.61,129.05244,554202.8597900001
2023-03-13,sh603369,-2400,56.95,110.7108,690772.1489900001
2023-04-03,sh600066,23400,5.71,41.420339999999996,557116.7286500002
2023-04-03,sz302132,2700,48.46,40.56101999999999,426234.16763000016
2023-04-03,sh601360,8000,16.97,42.08559999999999,290432.08203000017
2023-04-03,sz300308,3400,41.18,43.40372,150376.67831000016
2023-04-03,sz300394,8000,17.2,42.65599999999999,12734.022310000175
2023-04-11,sh601360,-8000,15.7,101.736,138232.28631000017
2023-04-11,sz300394,-8000,20.68,134.00639999999999,303538.27991000016
2023-04-11,sz302132,200,49.0,5.098,293733.18191000016
2023-04-11,sh600066,2800,5.42,5.15176,278552.0301500002
2023-04-11,sz300502,5700,24.72,43.68023999999999,137604.3499100002
2023-04-11,sz300308,-400,47.25,15.309000000000001,156489.04091000019
2023-04-11,sz002236,5900,24.62,45.029979999999995,11186.010930000193
2023-04-18,sh600066,-26200,5.39,114.38657999999998,152289.6243500002
2023-04-18,sz300418,2900,46.95,42.20805,16092.416300000215
2023-04-18,sz300308,100,44.36,5.04436,11651.371940000216
2023-04-18,sh601360,700,15.52,5.10864,782.2633000002152
2023-04-25,sz300308,-3100,57.41,144.15651,178609.10679000022
2023-04-25,sz300418,-2900,55.95,131.42655,340732.68024000025
2023-04-26,sz302132,-2900,45.31,106.43319,472025.24705000024
2023-05-17,sh601360,-700,13.3,9.7481,481325.4989500002
2023-05-19,sz300502,-5700,24.81,114.54776999999999,622627.9511800002
2023-05-25,sz002236,-5900,18.88,90.22752,733929.7236600003
2023-06-16,sz300308,1500,95.75,44.52375,590260.1999100002
2023-06-16,sz300502,4600,31.55,44.9903,445085.2096100002
2023-06-16,sz300394,4100,35.45,45.05695,299695.1526600002
2023-06-16,sh600066,17900,8.0,44.391999999999996,156450.7606600002
2023-06-16,sh600415,15700,9.15,44.533049999999996,12751.227610000205
2023-06-27,sz300502,-4600,31.77,118.37501999999999,158774.8525900002
2023-07-04,sh600415,-15700,7.31,92.96126999999998,273448.89132000017
2023-08-01,sh600066,-17900,8.5,123.2415,425475.64982000017
2023-08-01,sz300394,200,30.86,5.06172,419298.58810000017
2023-08-01,sh601138,6700,20.0,41.54,285257.04810000013
2023-08-01,sz300476,6700,20.31,42.18387,149137.86423000012
2023-08-01,sh600150,4100,32.91,41.82861,14165.035620000126
2023-08-04,sz300476,-6700,20.43,110.87361,150935.16201000012
2023-08-08,sh600150,-4100,29.92,99.36431999999999,273507.79769000015
2023-08-08,sz300394,-500,37.71,15.272549999999999,292347.52514000016
2023-08-08,sz300308,-100,99.63,10.081130000000002,302300.44401000015
2023-08-08,sh601138,-300,22.4,8.4272,309012.0168100002
2023-08-08,sz300476,6700,21.42,44.48933999999999,165453.52747000018
2023-08-08,sz000988,3900,36.6,44.249399999999994,22669.278070000175
2023-08-09,sz300476,-6700,20.65,112.06754999999998,160912.21052000017
2023-08-10,sz300308,-1400,86.92,98.56728000000001,282501.6432400002
2023-08-10,sz000988,-3900,33.1,104.5629,411487.08034000016
2023-08-15,sh601138,-6400,19.84,102.85056,538360.2297800002
2023-08-18,sz300394,-3800,32.05,98.64989999999999,660051.5798800001
2023-11-08,sz301236,3900,33.04,39.945359999999994,531155.6345200001
2023-11-08,sz301308,1200,105.95,39.413399999999996,403976.22112000006
